gs,,,,,,,,,,,,
,,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Christchurch Aero,20180317,800,24,24,9.9,24,8.8,24,-,-,-,D
Christchurch Aero,20180318,800,14.8,24,8.4,24,5.1,24,-,-,-,D
Christchurch Aero,20180319,800,19.6,24,11.8,24,10.3,24,-,-,-,D
Christchurch Aero,20180320,800,23.8,24,14.2,24,11.5,24,-,-,-,D
Christchurch Aero,20180321,800,23.8,24,14.4,24,11.8,24,-,-,-,D
Christchurch Aero,20180322,800,24,24,10.2,24,9.8,24,-,-,-,D
Christchurch Aero,20180323,800,11.2,24,8.2,24,7.5,24,-,-,-,D
Christchurch Aero,20180324,800,12.4,24,9.4,24,9,24,-,-,-,D
Christchurch Aero,20180325,800,18,24,9.3,24,7.4,24,-,-,-,D
Christchurch Aero,20180326,800,24.1,24,9,24,5.5,24,-,-,-,D
Christchurch Aero,20180327,800,25,24,7.2,24,3.7,24,-,-,-,D
Christchurch Aero,20180328,800,26.1,24,8.3,24,4.8,24,-,-,-,D
Christchurch Aero,20180329,800,22.8,24,12.4,24,9.7,24,-,-,-,D
Christchurch Aero,20180330,800,19.8,24,5.5,24,1.8,24,-,-,-,D
Christchurch Aero,20180331,800,20,24,8.9,24,5.1,24,-,-,-,D
Christchurch Aero,20180401,900,27.5,24,2.6,24,-1.6,24,-,-,-,D
Christchurch Aero,20180402,900,18.2,24,6,24,1.6,24,-,-,-,D
Christchurch Aero,20180403,900,22,24,12.6,24,12.2,24,-,-,-,D
Christchurch Aero,20180404,900,26.1,24,7.1,24,2.7,24,-,-,-,D
Christchurch Aero,20180405,900,22.9,24,11.3,24,8.8,24,-,-,-,D
Christchurch Aero,20180406,900,17.8,24,3.6,24,-0.7,24,-,-,-,D
Christchurch Aero,20180407,900,27.2,24,7.8,24,4.1,24,-,-,-,D
Christchurch Aero,20180408,900,16.3,24,7.1,24,1.1,24,-,-,-,D
Christchurch Aero,20180409,900,20.3,24,7.3,24,3.5,24,-,-,-,D
Christchurch Aero,20180410,900,12.1,24,5.9,24,5.2,24,-,-,-,D
Christchurch Aero,20180411,900,8.4,24,3.4,24,1.2,24,-,-,-,D
Christchurch Aero,20180412,900,10.5,24,-0.2,24,-3.7,24,-,-,-,D
Christchurch Aero,20180413,900,13.9,24,4,24,3.2,24,-,-,-,D
Christchurch Aero,20180414,900,14.1,24,1.8,24,-1.4,24,-,-,-,D
Christchurch Aero,20180415,900,15.3,24,4.1,24,0.1,24,-,-,-,D
Christchurch Aero,20180416,900,16.8,24,10.1,24,10.5,24,-,-,-,D
Christchurch Aero,20180417,900,20.7,24,7.9,24,1.3,24,-,-,-,D
Christchurch Aero,20180418,900,21.8,24,3.6,24,0.7,24,-,-,-,D
Christchurch Aero,20180419,900,15,24,2,24,-2.1,24,-,-,-,D
Christchurch Aero,20180420,900,22,24,9.9,24,3.5,24,-,-,-,D
Christchurch Aero,20180421,900,22.5,24,7.4,24,3.4,24,-,-,-,D
Christchurch Aero,20180422,900,19.9,24,3.9,24,-0.9,24,-,-,-,D
Christchurch Aero,20180423,900,15.2,24,0,24,-3.9,24,-,-,-,D
Christchurch Aero,20180424,900,15.3,24,2.7,24,-0.8,24,-,-,-,D
Christchurch Aero,20180425,900,19.2,24,3.3,24,0,24,-,-,-,D
Christchurch Aero,20180426,900,16.7,24,3.8,24,-0.2,24,-,-,-,D
Christchurch Aero,20180427,900,22.3,24,8.8,24,7.2,24,-,-,-,D
Christchurch Aero,20180428,900,19.2,24,10.6,24,6.9,24,-,-,-,D
Christchurch Aero,20180429,900,12.1,24,9.9,24,9.6,24,-,-,-,D
Christchurch Aero,20180430,900,11.8,24,5.6,24,3,24,-,-,-,D
Christchurch Aero,20180501,900,11.4,24,6.9,24,4,24,-,-,-,D
Christchurch Aero,20180502,900,17,24,6.8,24,3,24,-,-,-,D
Christchurch Aero,20180503,900,15.7,24,2.4,24,-0.6,24,-,-,-,D
Christchurch Aero,20180504,900,15.7,24,4.8,24,0.9,24,-,-,-,D
Christchurch Aero,20180505,900,15.5,24,6.4,24,3.6,24,-,-,-,D
Christchurch Aero,20180506,900,18.8,24,7.5,24,4.1,24,-,-,-,D
Christchurch Aero,20180507,900,20.5,24,3.1,24,-1.4,24,-,-,-,D
Christchurch Aero,20180508,900,20.3,24,5.6,24,0.2,24,-,-,-,D
Christchurch Aero,20180509,900,19.9,24,7.4,24,0.9,24,-,-,-,D
Christchurch Aero,20180510,900,19.1,24,4.7,24,0.4,24,-,-,-,D
Christchurch Aero,20180511,900,19.2,24,5.1,24,1.5,24,-,-,-,D
Christchurch Aero,20180512,900,18.2,24,10.5,24,9.2,24,-,-,-,D
Christchurch Aero,20180513,900,13.1,24,5.9,24,1.1,24,-,-,-,D
Christchurch Aero,20180514,900,11.2,24,7.8,24,6.7,24,-,-,-,D
Christchurch Aero,20180515,900,12.8,24,8.8,24,5.7,24,-,-,-,D
Christchurch Aero,20180516,900,12.9,24,5.9,24,2.4,24,-,-,-,D
Christchurch Aero,20180517,900,10.5,24,5.2,24,3.8,24,-,-,-,D
Christchurch Aero,20180518,900,12.6,24,4.6,24,-1,24,-,-,-,D
Christchurch Aero,20180519,900,18.7,24,3.5,24,-0.6,24,-,-,-,D
Christchurch Aero,20180520,900,19,24,2.2,24,-2,24,-,-,-,D
Christchurch Aero,20180521,900,18.3,24,6.7,24,4.7,24,-,-,-,D
Christchurch Aero,20180522,900,13.9,24,0.4,24,-3.7,24,-,-,-,D
Christchurch Aero,20180523,900,16.5,24,2.4,24,-1.1,24,-,-,-,D
